pruning,max_depth,red_start_x,red_start_y,blue_start_x,blue_start_y,red_end_x,red_end_y,blue_end_x,blue_end_y,num_moves,total_time,avg_time,winner
TRUE,2,1,4,17,7,4,7,12,7,87,0.362059355,0.004161602,
TRUE,2,8,11,15,4,13,7,16,7,70,0.264293671,0.003775624,
TRUE,2,3,6,16,11,9,7,17,7,85,0.355078936,0.004177399,
TRUE,2,7,10,18,11,9,7,17,7,75,0.29173398,0.003889786,
TRUE,2,9,12,17,12,13,7,16,7,72,0.277360678,0.003852232,
TRUE,2,1,11,18,12,9,7,17,7,89,0.365041018,0.004101584,
TRUE,2,5,12,13,5,9,7,17,7,95,0.412894249,0.004346255,
TRUE,2,4,3,17,1,9,7,17,7,81,0.324106693,0.004001317,
TRUE,2,7,11,16,4,9,7,17,7,77,0.365535021,0.004747208,
TRUE,2,6,3,12,2,15,7,16,5,19,0.05086422,0.002677064,Team.RED
TRUE,2,4,9,15,9,9,7,17,7,83,0.338111401,0.004073631,
TRUE,2,1,8,18,4,9,7,17,7,89,0.361035585,0.00405658,
TRUE,2,1,11,18,4,9,7,17,7,89,0.366990566,0.00412349,
TRUE,2,6,7,18,1,13,7,16,7,70,0.269313812,0.00384734,
TRUE,2,4,4,13,2,9,7,17,7,83,0.335107088,0.004037435,
TRUE,2,6,3,12,5,6,7,13,7,72,0.279242516,0.003878368,
TRUE,2,7,9,14,3,7,7,13,7,75,0.290224552,0.003869661,
TRUE,2,1,2,12,9,4,7,8,7,65,0.242321253,0.003728019,
TRUE,2,5,8,17,8,9,7,17,7,79,0.329146385,0.00416641,
TRUE,2,8,11,18,6,9,7,17,7,77,0.309210062,0.004015715,
TRUE,2,6,11,13,2,15,7,16,5,19,0.048908472,0.00257413,Team.RED
TRUE,2,9,3,11,12,15,7,16,9,19,0.050853968,0.002676525,Team.RED
TRUE,2,6,12,17,10,9,7,17,7,79,0.308176994,0.003900975,
TRUE,2,9,2,11,2,5,7,9,7,71,0.266316175,0.003750932,
TRUE,2,2,1,16,5,4,7,12,7,85,0.343082905,0.004036269,
TRUE,2,1,12,14,12,4,7,12,7,83,0.340063334,0.004097149,
TRUE,2,6,6,12,1,15,7,15,5,19,0.04787159,0.002519557,Team.RED
TRUE,2,6,11,16,1,7,7,13,7,77,0.302178144,0.003924391,
TRUE,2,8,4,14,7,13,7,16,7,68,0.256335497,0.00376964,
TRUE,2,2,7,13,10,5,7,10,7,62,0.233355522,0.003763799,
TRUE,2,4,1,14,10,6,7,13,7,76,0.324131966,0.004264894,
TRUE,2,1,4,12,3,5,7,10,7,64,0.29221797,0.004565906,
TRUE,2,7,1,14,5,4,5,5,7,20,0.050863504,0.002543175,Team.BLUE
TRUE,2,4,8,14,5,4,7,12,7,81,0.323152304,0.003989535,
TRUE,2,7,2,17,10,9,7,17,7,79,0.319156647,0.004039958,
TRUE,2,1,2,18,12,9,7,17,7,89,0.367021561,0.004123838,
